Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
265,-2,1.3125,-1,-0.1894531,0.05615234,0.9897461,0.06835938,-0.1137695,-0.2163086
266,-1.875,1.25,-0.8125,-0.1928711,0.06005859,0.9897461,0.06835938,-0.1181641,-0.2148438
268,-1.5625,0.875,-0.9375,-0.1894531,0.06005859,0.9936523,0.06835938,-0.1166992,-0.2163086
269,-1.4375,0.6875,-0.75,-0.1928711,0.05615234,0.9858398,0.06835938,-0.1166992,-0.2163086
271,-1.3125,0.25,-0.4375,-0.1894531,0.05615234,0.9897461,0.06835938,-0.1181641,-0.2163086
272,-1.0625,0.375,-0.4375,-0.1855469,0.06005859,0.9975586,0.06835938,-0.1152344,-0.2148438
274,-1.25,0.375,-0.5625,-0.1967773,0.06396484,0.9819336,0.06835938,-0.1152344,-0.2148438
275,-1.375,0.4375,-0.6875,-0.1855469,0.06396484,0.9936523,0.06835938,-0.1166992,-0.2148438
277,-1.25,0.625,-0.5,-0.1894531,0.06787109,0.9858398,0.06982422,-0.1166992,-0.2177734
278,-1.25,0.8125,-0.5625,-0.1855469,0.06005859,0.9858398,0.06982422,-0.1166992,-0.2177734
280,-1.25,0.875,-0.4375,-0.1894531,0.06005859,0.9897461,0.06982422,-0.1152344,-0.2148438
281,-1.3125,0.625,-0.625,-0.1894531,0.06396484,0.9897461,0.06982422,-0.1166992,-0.2133789
283,-1.4375,0.625,-0.8125,-0.1928711,0.07568359,0.9858398,0.06982422,-0.1166992,-0.2133789
284,-1.6875,0.8125,-0.875,-0.1928711,0.06396484,0.9858398,0.06982422,-0.1166992,-0.2163086
286,-1.875,0.5,-1.125,-0.1855469,0.07177734,0.9819336,0.06982422,-0.1166992,-0.2177734
287,-2.0625,0.4375,-1.3125,-0.1855469,0.07568359,0.9897461,0.06982422,-0.1166992,-0.2177734
289,-2.375,0.6875,-1.4375,-0.1855469,0.06787109,0.9819336,0.06689453,-0.1152344,-0.2163086
290,-2.6875,0.5625,-1.6875,-0.1816406,0.06396484,0.9858398,0.06835938,-0.1166992,-0.2163086
292,-2.6875,0.625,-1.8125,-0.1894531,0.07177734,0.9936523,0.06835938,-0.1166992,-0.2163086
293,-2.625,0.5,-1.5,-0.1855469,0.06005859,0.9897461,0.06835938,-0.1137695,-0.2133789
295,-2.6875,0.75,-1.6875,-0.1894531,0.06787109,0.9897461,0.06982422,-0.1166992,-0.2163086
296,-2.8125,0.9375,-1.75,-0.1855469,0.06005859,0.9936523,0.06982422,-0.1166992,-0.2163086
298,-2.75,0.8125,-1.75,-0.1894531,0.05224609,0.9936523,0.06835938,-0.1152344,-0.2163086
299,-2.5,0.9375,-1.6875,-0.1894531,0.05224609,0.9897461,0.06689453,-0.1152344,-0.2148438
301,-2.25,0.75,-1.375,-0.1967773,0.05224609,0.9897461,0.06689453,-0.1152344,-0.2148438
302,-1.9375,0.6875,-1.1875,-0.1928711,0.04443359,0.9975586,0.07080078,-0.1166992,-0.2148438
304,-1.625,0.4375,-1,-0.2045898,0.04052734,0.9897461,0.06835938,-0.1181641,-0.2148438
305,-1.0625,0.3125,-0.6875,-0.1894531,0.04443359,0.9858398,0.06835938,-0.1181641,-0.2148438
307,-0.8125,0,-0.5,-0.1928711,0.05224609,0.9897461,0.06689453,-0.1152344,-0.2163086
310,-0.75,0.0625,-0.25,-0.1894531,0.06005859,0.9936523,0.06689453,-0.1166992,-0.2163086
312,-0.5625,0.0625,-0.25,-0.1894531,0.05615234,0.9936523,0.06689453,-0.1166992,-0.2163086
313,-0.5,0.125,-0.3125,-0.1855469,0.06005859,0.9975586,0.06835938,-0.1152344,-0.2148438
315,-0.5,-0.0625,-0.375,-0.1967773,0.05615234,1.001465,0.06835938,-0.1152344,-0.2133789
316,-0.0625,-0.1875,-0.125,-0.2006836,0.05615234,0.9936523,0.06835938,-0.1152344,-0.2133789
318,-0.4375,-0.3125,-0.3125,-0.1855469,0.06396484,0.9819336,0.06835938,-0.1166992,-0.2177734
319,-0.1875,-0.0625,0,-0.1928711,0.05615234,0.9975586,0.06835938,-0.1166992,-0.2148438
321,-0.25,-0.3125,-0.125,-0.1894531,0.05224609,0.9858398,0.06835938,-0.1166992,-0.2148438
